date,overall_sales,wholesale_sales,retail_sales,motor_sales,overall_index,wholesale_index,retail_index,motor_index,overall_index_sa,wholesale_index_sa,retail_index_sa,motor_index_sa
2018-01-01,101059462073,49749911852,39654542681,11655007539,118.116822581399,119.027794385757,124.359209424399,97.9622706072166,117.249,119.11,121.441,99.443
2018-02-01,97152225319,47385744563,39222719320,10543761437,114.031989039941,114.198167168989,121.599502099184,92.2687954530913,117.775,119.616,121.853,100.018
2018-03-01,103777249567,50674811322,40824936295,12277501951,121.689203221147,123.143959636364,127.707125987595,100.481211531699,117.75,120.2,122.58,95.483
2018-04-01,99769544813,48575187873,39128678584,12065678356,115.489204422529,118.088197069979,119.766773750419,95.6936305628077,119.255,120.894,123.609,101.999
2018-05-01,103705122959,50536851905,40860448106,12307822948,120.131250208617,124.852969275493,122.311380308526,99.7717401629342,120.384,121.867,126.259,100.375
2018-06-01,106130865043,50405847724,42705665098,13019352221,125.570907289102,123.57996582856,133.820657064436,108.963089049231,123.258,122.397,131.321,104.838
2018-07-01,106450962147,49162607651,43427141398,13861213098,125.00136328712,119.608535057394,135.053475665261,114.082268864486,124.798,122.719,133.685,109.458
2018-08-01,107865589903,50919930400,43478163010,13467496493,125.862435240464,125.088987563526,132.619553219074,109.770494241649,126.815,124.527,135.56,106.64
2018-09-01,104716819340,52381886188,41170812496,11164120656,122.634165035314,129.476718775601,125.517517880523,93.2598746296194,122.181,125.866,128.893,94.121
2018-10-01,106017668881,51888910340,41996593506,12132165035,125.532245298068,128.92048160358,130.772052477988,100.39787670645,124.84,125.624,132.673,101.043
2018-11-01,106190454215,51045434143,42858104240,12286915832,124.503349055627,123.290296337262,133.882132112541,101.94064906766,125.784,125.566,134.393,101.546
2018-12-01,109309196036,52745749547,44665884244,11897562245,127.073196274994,124.584044573079,139.866027448983,98.4431194935792,125.415,125.218,135.095,97.417
2019-01-01,108943916996,52857933607,43874963270,12211020118,127.430982941425,125.265477022984,138.331104055175,103.44347436412,126.651,125.492,135.478,104.631
2019-02-01,103482327136,50157435983,42542892089,10781999064,121.332693787047,118.99695907879,132.902966935214,95.8019489959779,125.89,125.253,134.863,103.609
2019-03-01,109437570759,53210237814,43633733065,12593599879,127.824275567901,126.990571091859,137.101653983933,104.37191236011,124.216,124.368,132.88,101.701
2019-04-01,105373259363,51169357711,41867216261,12336685391,121.523420252085,122.006511010341,129.003283263361,99.0900476876953,126.336,125.619,134.696,105.665
2019-05-01,110797421262,53305917073,44066097530,13425406659,128.1210854694,129.277435779608,133.835516768761,108.889392689177,128.412,126.655,138.443,107.797
2019-06-01,112340664232,53640290244,46000434394,12699939594,133.661145971261,129.78641689044,146.724668912488,108.835425693705,130.51,128.634,142.338,104.596
2019-07-01,112540231830,52399872190,46512073704,13628285936,132.864450615101,126.536968803472,146.451073932209,114.471412951,131.662,129.773,141.943,106.417
2019-08-01,114068759561,53983874124,46466308634,13618576803,133.227145394105,131.946109924615,142.504928117301,111.30938375976,132.827,130.63,142.353,106.223
2019-09-01,110621306554,54838834675,44126110700,11656361179,129.95652448416,136.006099076888,134.77250927001,97.458277317769,130.685,131.176,141.404,101.195
2019-10-01,111317644276,53889592753,44843565760,12584485763,132.116167088553,134.586478817819,139.464795014709,103.726018202987,131.294,130.742,141.812,104.751
2019-11-01,111697846132,53166855427,45879306350,12651684355,131.566481603244,129.323526613278,143.345229688114,105.244436754084,132.594,131.471,143.263,104.869
2019-12-01,115825006061,55602026572,47787498579,12435480911,134.739296862625,131.353896342941,149.645313420851,102.784185002736,133.067,132.038,144.224,103.888
2020-01-01,114776277568,55631202350,46815991868,12329083350,134.4,131.842695537718,147.665210946184,104.347961871133,130.15,128.098,140.94,104.067
2020-02-01,108972504711,52605968493,45202247330,11164288888,127.936656902904,124.839491115839,141.408396046577,99.2628345873513,133.668,130.672,143.695,101.802
2020-03-01,103182073911,51777388669,40732216580,10672468663,120.052340654317,123.762408318442,126.775410940684,89.3278286924877,120.422,124.979,127.741,84.709
2020-04-01,66851887335,37694128833,28319978255,837780248,74.6145902024683,88.4734744276894,82.5923508314202,6.32082384477522,79.404,92.949,89.702,7.15
2020-05-01,84440371436,40710222477,36952831804,6777317155,97.2113643188587,99.1195963150096,109.748966608199,54.5683852290964,100.972,100.697,118.91,60.234
2020-06-01,102869377685,48971634038,41773662990,12124080657,121.720729298017,119.761028461503,130.362435282635,103.778872984917,121.063,122.691,127.27,107.773
2020-07-01,108652893491,50046587818,44745887661,13860418012,127.745422610969,121.515564181752,138.813160449175,116.543537723458,126.963,126.931,135.063,110.23
2020-08-01,111420748400,51888617078,45775002873,13757128450,129.905590741914,127.46340778531,139.005236509482,112.274277004349,129.171,124.863,137.236,110.167
2020-09-01,110992081106,52518844702,44825586799,13647649605,130.555231507711,131.597684617156,136.114556615091,112.195746837526,129.254,125.406,138.222,112.995
2020-10-01,110452810811,53405459084,44188284272,12859067456,130.239182658577,133.494377531003,135.532092706151,105.443992653171,126.758,127.036,135.348,101.277
2020-11-01,110395235038,52770753723,44827022247,12797459068,129.66840902272,128.878491145689,138.869780190591,106.326747782215,127.186,127.019,135.433,101.704
2020-12-01,116408801167,55290462698,46849460846,14268877624,135.10053823297,131.43631356518,145.326221582001,117.941176470588,129.244,128.04,136.741,110.104
2021-01-01,111845709499,55414807162,45629000321,10801902016,131.209153192678,131.887798227516,143.238777906723,94.5770302127863,126.346,127.511,136.071,90.263
2021-02-01,108009128976,52576486411,44273936101,11158706463,126.883587137813,125.306487465621,138.716248630622,98.1589652007995,132.28,130.713,140.355,100.23
2021-03-01,112734459982,52728677754,44989736538,15016045690,130.684480720975,126.362466656399,138.093487128523,124.296213950216,130.749,128.75,140.533,109.812
2021-04-01,111094830591,52954623447,44306328138,13833879006,127.848373702049,126.460811887775,134.888473664321,112.939352050848,135.672,132.855,146.734,128.892
2021-05-01,108241362335,53296529546,43349959815,11594872974,123.649884375498,126.493922040687,132.086104633845,90.6499699626541,128.848,129.235,143.753,101.248
2021-06-01,92226658333,50722661746,40578697301,925299285,106.284244784252,119.221524974587,125.552172182882,7.45927535315875,106.237,122.891,122.813,7.833
2021-07-01,92678685682,49518929273,41136792899,2022963509,106.595272257564,117.381102787404,125.95141462026,13.798,106.387,122.874,122.898,13.084
2021-08-01,100050609930,51855251317,42366956418,5828402195,114.591139158769,123.23911,128.035989649314,46.6679128120292,114.943,120.46,126.678,45.391
